symbol,name,sector
005930.KS,삼성전자,
000660.KS,SK하이닉스,
005935.KS,삼성전자우,
402340.KS,SK스퀘어,
005380.KS,현대차,
373220.KS,LG에너지솔루션,
034020.KS,두산에너빌리티,
329180.KS,HD현대중공업,
028260.KS,삼성물산,
009150.KS,삼성전기,
207940.KS,삼성바이오로직스,
012450.KS,한화에어로스페이스,
000270.KS,기아,
105560.KS,KB금융,
032830.KS,삼성생명,
006400.KS,삼성SDI,
267260.KS,HD현대일렉트릭,
010120.KS,LS ELECTRIC,
055550.KS,신한지주,
012330.KS,현대모비스,
006800.KS,미래에셋증권,
068270.KS,셀트리온,
005490.KS,POSCO홀딩스,
298040.KS,효성중공업,
034730.KS,SK,
042660.KS,한화오션,
042700.KS,한미반도체,
086790.KS,하나금융지주,
035420.KS,NAVER,
010130.KS,고려아연,
009540.KS,HD한국조선해양,
051910.KS,LG화학,
015760.KS,한국전력,
010140.KS,삼성중공업,
000150.KS,두산,
003670.KS,포스코퓨처엠,
066570.KS,LG전자,
064350.KS,현대로템,
316140.KS,우리금융지주,
267250.KS,HD현대,
096770.KS,SK이노베이션,
000810.KS,삼성화재,
272210.KS,한화시스템,
033780.KS,KT&G,
035720.KS,카카오,
017670.KS,SK텔레콤,
011200.KS,HMM,
086280.KS,현대글로비스,
138040.KS,메리츠금융지주,
079550.KS,LIG디펜스앤에어로스페이스,
000720.KS,현대건설,
024110.KS,기업은행,
006260.KS,LS,
003550.KS,LG,
047810.KS,한국항공우주,
278470.KS,에이피알,
307950.KS,현대오토에버,
071050.KS,한국금융지주,
030200.KS,KT,
011070.KS,LG이노텍,
047050.KS,포스코인터내셔널,
018260.KS,삼성에스디에스,
047040.KS,대우건설,
001440.KS,대한전선,
0126Z0.KS,삼성에피스홀딩스,
010950.KS,S-Oil,
005940.KS,NH투자증권,
259960.KS,크래프톤,
016360.KS,삼성증권,
028050.KS,삼성E&A,
039490.KS,키움증권,
323410.KS,카카오뱅크,
443060.KS,HD현대마린솔루션,
005830.KS,DB손해보험,
352820.KS,하이브,
007660.KS,이수페타시스,
003230.KS,삼양식품,
062040.KS,산일전기,
000880.KS,한화,
003490.KS,대한항공,
005387.KS,현대차2우B,
267270.KS,HD건설기계,
009830.KS,한화솔루션,
066970.KS,엘앤에프,
000500.KS,가온전선,
326030.KS,SK바이오팜,
377300.KS,카카오페이,
161390.KS,한국타이어앤테크놀로지,
180640.KS,한진칼,
090430.KS,아모레퍼시픽,
078930.KS,GS,
000990.KS,DB하이텍,
241560.KS,두산밥캣,
000100.KS,유한양행,
064400.KS,LG씨엔에스,
103590.KS,일진전기,
052690.KS,한전기술,
082740.KS,한화엔진,
454910.KS,두산로보틱스,
001040.KS,CJ,
032640.KS,LG유플러스,
005385.KS,현대차우,
021240.KS,코웨이,
034220.KS,LG디스플레이,
353200.KS,대덕전자,
011790.KS,SKC,
010060.KS,OCI홀딩스,
029780.KS,삼성카드,
004020.KS,현대제철,
336260.KS,두산퓨얼셀,
450080.KS,에코프로머티,
128940.KS,한미약품,
271560.KS,오리온,
138930.KS,BNK금융지주,
036570.KS,NC,
088980.KS,맥쿼리인프라,
002380.KS,KCC,
022100.KS,포스코DX,
175330.KS,JB금융지주,
018880.KS,한온시스템,
004800.KS,효성,
011170.KS,롯데케미칼,
051900.KS,LG생활건강,
088350.KS,한화생명,
004170.KS,신세계,
489790.KS,한화비전,
023530.KS,롯데쇼핑,
017800.KS,현대엘리베이터,
011780.KS,금호석유화학,
111770.KS,영원무역,
020150.KS,롯데에너지머티리얼즈,
375500.KS,DL이앤씨,
012510.KS,더존비즈온,
251270.KS,넷마블,
036460.KS,한국가스공사,
035250.KS,강원랜드,
457190.KS,이수스페셜티케미컬,
097950.KS,CJ제일제당,
302440.KS,SK바이오사이언스,
001720.KS,신영증권,
014680.KS,한솔케미칼,
031210.KS,서울보증보험,
071970.KS,HD현대마린엔진,
028670.KS,팬오션,
006360.KS,GS건설,
383220.KS,F&F,
439260.KS,대한조선,
005850.KS,에스엘,
00680K.KS,미래에셋증권2우B,
139480.KS,이마트,
139130.KS,iM금융지주,
007340.KS,DN오토모티브,
004990.KS,롯데지주,
009970.KS,영원무역홀딩스,
204320.KS,HL만도,
012750.KS,에스원,
229640.KS,LS에코에너지,
000155.KS,두산우,
120110.KS,코오롱인더,
103140.KS,풍산,
001430.KS,세아베스틸지주,
051600.KS,한전KPS,
001450.KS,현대해상,
483650.KS,달바글로벌,
112610.KS,씨에스윈드,
008930.KS,한미사이언스,
026960.KS,동서,
008770.KS,호텔신라,
011210.KS,현대위아,
007810.KS,코리아써키트,
018670.KS,SK가스,
069960.KS,현대백화점,
097230.KS,HJ중공업,
282330.KS,BGF리테일,
017960.KS,한국카본,
192820.KS,코스맥스,
000240.KS,한국앤컴퍼니,
005440.KS,현대지에프홀딩스,
009420.KS,한올바이오파마,
004370.KS,농심,
000120.KS,CJ대한통운,
161890.KS,한국콜마,
322000.KS,HD현대에너지솔루션,
077970.KS,STX엔진,
030000.KS,제일기획,
361610.KS,SK아이이테크놀로지,
007070.KS,GS리테일,
003690.KS,코리안리,
085620.KS,미래에셋생명,
298020.KS,효성티앤씨,
023590.KS,다우기술,
002790.KS,아모레퍼시픽홀딩스,
005070.KS,코스모신소재,
081660.KS,미스토홀딩스,
003540.KS,대신증권,
395400.KS,SK리츠,
001120.KS,LX인터내셔널,
003530.KS,한화투자증권,
462870.KS,시프트업,
